exporter,importer,year,commodity,trade_quantity
Afghanistan,Bahamas,2018,Potatoes,0.1
Afghanistan,Iran (Islamic Republic of),2018,Cattle,262.625
Afghanistan,Kazakhstan,2018,Potatoes,616.3
Afghanistan,Pakistan,2018,Barley,1914.0
Afghanistan,Pakistan,2018,Potatoes,176.39
Afghanistan,Pakistan,2018,Sunflower seed,1.2
Afghanistan,Slovakia,2018,Soya beans,0.0
Afghanistan,Tajikistan,2018,Potatoes,222.0
Afghanistan,Uzbekistan,2018,Potatoes,3686.05
Albania,Bosnia and Herzegovina,2018,Potatoes,161.39
Albania,Bulgaria,2018,Sunflower seed,7.0
Albania,Greece,2018,Bananas,69.75
Albania,Hungary,2018,Maize (corn),1.81
Albania,Iceland,2018,Soya beans,0.02
Albania,Montenegro,2018,Potatoes,417.185
Albania,North Macedonia,2018,Potatoes,7.74
Albania,North Macedonia,2018,Wheat,27.0
Albania,Republic of Moldova,2018,Potatoes,4.94
Albania,Serbia,2018,Maize (corn),25.0
Albania,Serbia,2018,Potatoes,522.52
Albania,United Arab Emirates,2018,Wheat,0.01
Algeria,Canada,2018,Wheat,3.0
Algeria,France,2018,Potatoes,12.37
Algeria,Italy,2018,Wheat,6.0
Algeria,Niger,2018,Potatoes,198.85
Algeria,Niger,2018,Rice,0.5
Algeria,Niger,2018,Wheat,42.0
Algeria,Republic of Korea,2018,Maize (corn),0.0
Algeria,Republic of Korea,2018,Wheat,0.0
Algeria,Spain,2018,Potatoes,496.56
Algeria,Switzerland,2018,Wheat,0.01
Algeria,TÃ¼rkiye,2018,Sunflower seed,40.0
Algeria,United Arab Emirates,2018,Potatoes,106.89
Algeria,United Kingdom of Great Britain and Northern Ireland,2018,Wheat,4.0
Angola,Democratic Republic of the Congo,2018,Cattle,13.075
Angola,Democratic Republic of the Congo,2018,Potatoes,4.25
Angola,Democratic Republic of the Congo,2018,Rice,1.0
Angola,Namibia,2018,Bananas,0.42
Angola,Namibia,2018,Maize (corn),94.25
Angola,Namibia,2018,Rice,0.29
Angola,Portugal,2018,Bananas,679.91
Angola,Sao Tome and Principe,2018,Maize (corn),0.14
Angola,Sao Tome and Principe,2018,Soya beans,0.5
Angola,South Africa,2018,Bananas,103.01
Angola,Spain,2018,Bananas,3036.96
Antigua and Barbuda,Bahrain,2018,Maize (corn),4.0
Antigua and Barbuda,Malawi,2018,Wheat,10300.0
Antigua and Barbuda,Republic of Korea,2018,Maize (corn),35051.0
Antigua and Barbuda,Saudi Arabia,2018,Potatoes,0.05
Antigua and Barbuda,Solomon Islands,2018,Maize (corn),193.72
Antigua and Barbuda,Sweden,2018,Maize (corn),0.9
Antigua and Barbuda,Venezuela (Bolivarian Republic of),2018,Maize (corn),0.01
Argentina,Albania,2018,Maize (corn),178.0
Argentina,Algeria,2018,Maize (corn),3394210.0
Argentina,Algeria,2018,Sunflower seed,1774.1
Argentina,Algeria,2018,Wheat,1301430.0
Argentina,Angola,2018,Maize (corn),16430.0
Argentina,Armenia,2018,Maize (corn),206.8
Argentina,Australia,2018,Maize (corn),360.0
Argentina,Australia,2018,Sunflower seed,18.12
Argentina,Austria,2018,Maize (corn),3.86
Argentina,Azerbaijan,2018,Maize (corn),201.18
Argentina,Bahrain,2018,Maize (corn),24282.195
Argentina,Bahrain,2018,Sunflower seed,1.0
Argentina,Bangladesh,2018,Maize (corn),190875.0
Argentina,Bangladesh,2018,Wheat,246262.0
Argentina,Barbados,2018,Maize (corn),29.48
Argentina,Belarus,2018,Maize (corn),17.01
Argentina,Belarus,2018,Sunflower seed,0.16
Argentina,Belgium,2018,Maize (corn),358.29
Argentina,Belgium,2018,Rice,1.89
Argentina,Belgium,2018,Sunflower seed,21.0
Argentina,Belgium,2018,Wheat,0.04
Argentina,Benin,2018,Maize (corn),980.845
Argentina,Bolivia (Plurinational State of),2018,Cattle,7.775
Argentina,Bolivia (Plurinational State of),2018,Chickens,17.88
Argentina,Bolivia (Plurinational State of),2018,Maize (corn),26876.75
Argentina,Bolivia (Plurinational State of),2018,Soya beans,2512.425
Argentina,Bolivia (Plurinational State of),2018,Sunflower seed,723.875
Argentina,Bolivia (Plurinational State of),2018,Wheat,75765.65
Argentina,Bosnia and Herzegovina,2018,Maize (corn),545.5350000000001
Argentina,Botswana,2018,Wheat,1445.82
Argentina,Brazil,2018,Barley,581959.9
Argentina,Brazil,2018,Cattle,6.75
Argentina,Brazil,2018,Maize (corn),202926.6
Argentina,Brazil,2018,Potatoes,400.0
Argentina,Brazil,2018,Rice,294.1
Argentina,Brazil,2018,Soya beans,3.79
Argentina,Brazil,2018,Sunflower seed,7667.86
Argentina,Brazil,2018,Wheat,5925015.675
Argentina,Bulgaria,2018,Maize (corn),443.62
Argentina,Bulgaria,2018,Sunflower seed,1.52
Argentina,Burkina Faso,2018,Maize (corn),73.89999999999999
Argentina,Burkina Faso,2018,Wheat,2096.1
Argentina,Burundi,2018,Wheat,2010.0
Argentina,Cabo Verde,2018,Maize (corn),33985.07
Argentina,Cabo Verde,2018,Wheat,3362.34
Argentina,Cambodia,2018,Maize (corn),37841.0
Argentina,Cambodia,2018,Wheat,10855.08
Argentina,Cameroon,2018,Maize (corn),12374.8
Argentina,Cameroon,2018,Sunflower seed,0.02
Argentina,Cameroon,2018,Wheat,10000.0
Argentina,Canada,2018,Bananas,0.38
Argentina,Canada,2018,Maize (corn),41.13
Argentina,Canada,2018,Soya beans,78.12
Argentina,Canada,2018,Sunflower seed,22.97
Argentina,Canada,2018,Wheat,7184.72
Argentina,Chile,2018,Barley,32985.5
Argentina,Chile,2018,Maize (corn),1813204.0350000001
Argentina,Chile,2018,Potatoes,1650.1
Argentina,Chile,2018,Soya beans,80339.16
Argentina,Chile,2018,Sunflower seed,464.84000000000003
Argentina,Chile,2018,Wheat,597540.5800000001
Argentina,China,2018,Maize (corn),21.17
Argentina,China,2018,Potatoes,0.12
Argentina,China,2018,Soya beans,2429331.955
Argentina,Colombia,2018,Barley,298293.16000000003
Argentina,Colombia,2018,Cattle,8.185
Argentina,Colombia,2018,Maize (corn),128869.915
Argentina,Colombia,2018,Sunflower seed,795.165
Argentina,Colombia,2018,Wheat,69889.11
Argentina,Congo,2018,Maize (corn),6004.275
Argentina,Congo,2018,Wheat,4240.0
Argentina,Costa Rica,2018,Maize (corn),703.9449999999999
Argentina,Costa Rica,2018,Sunflower seed,272.26
