exporter,importer,year,commodity,trade_quantity
Afghanistan,Brunei Darussalam,2020,Soya beans,2.05
Afghanistan,Canada,2020,Soya beans,0.76
Afghanistan,Maldives,2020,Bananas,0.4
Afghanistan,Maldives,2020,Maize (corn),0.03
Afghanistan,Maldives,2020,Potatoes,0.08
Afghanistan,Maldives,2020,Sunflower seed,0.01
Afghanistan,Mozambique,2020,Maize (corn),160.0
Afghanistan,Mozambique,2020,Potatoes,0.41
Afghanistan,Pakistan,2020,Barley,1528.0
Afghanistan,Pakistan,2020,Maize (corn),55.0
Afghanistan,Pakistan,2020,Potatoes,13720.12
Afghanistan,Tajikistan,2020,Potatoes,48.0
Afghanistan,United Arab Emirates,2020,Wheat,20.68
Afghanistan,Uzbekistan,2020,Potatoes,213.37
Albania,Bosnia and Herzegovina,2020,Potatoes,1102.655
Albania,Germany,2020,Sunflower seed,0.12
Albania,Greece,2020,Potatoes,21.4
Albania,Hungary,2020,Chickens,15.555
Albania,Montenegro,2020,Potatoes,389.45000000000005
Albania,North Macedonia,2020,Potatoes,174.91500000000002
Albania,Republic of Moldova,2020,Potatoes,34.4
Albania,Serbia,2020,Potatoes,5.13
Albania,Ukraine,2020,Potatoes,4.57
Algeria,Bahrain,2020,Potatoes,26.01
Algeria,Canada,2020,Potatoes,6.0
Algeria,Canada,2020,Wheat,5.0
Algeria,France,2020,Potatoes,70.3
Algeria,Mauritania,2020,Potatoes,100.0
Algeria,Niger,2020,Maize (corn),5.0
Algeria,Niger,2020,Potatoes,805.25
Algeria,Spain,2020,Maize (corn),0.0
Algeria,Spain,2020,Potatoes,873.79
Algeria,Switzerland,2020,Wheat,0.1
Algeria,United Arab Emirates,2020,Potatoes,268.44
Angola,Antigua and Barbuda,2020,Bananas,0.01
Angola,Antigua and Barbuda,2020,Potatoes,0.05
Angola,Congo,2020,Bananas,228.29
Angola,Congo,2020,Maize (corn),0.7
Angola,Cuba,2020,Maize (corn),0.01
Angola,Democratic Republic of the Congo,2020,Cattle,45.5625
Angola,Democratic Republic of the Congo,2020,Chickens,0.005
Angola,Democratic Republic of the Congo,2020,Maize (corn),0.02
Angola,Democratic Republic of the Congo,2020,Potatoes,59.315
Angola,Democratic Republic of the Congo,2020,Rice,2.33
Angola,Democratic Republic of the Congo,2020,Wheat,563.31
Angola,Dominican Republic,2020,Potatoes,0.01
Angola,France,2020,Potatoes,3.14
Angola,Germany,2020,Bananas,0.24
Angola,Germany,2020,Potatoes,0.11
Angola,Hong Kong,2020,Potatoes,0.01
Angola,Hong Kong,2020,Sunflower seed,0.01
Angola,India,2020,Bananas,0.04
Angola,Liberia,2020,Bananas,0.6
Angola,Malta,2020,Bananas,0.03
Angola,Malta,2020,Potatoes,0.08
Angola,Namibia,2020,Bananas,276.005
Angola,Namibia,2020,Cattle,13.1
Angola,Namibia,2020,Maize (corn),51.28
Angola,Namibia,2020,Potatoes,0.8400000000000001
Angola,Namibia,2020,Rice,0.13
Angola,Panama,2020,Bananas,0.02
Angola,Portugal,2020,Bananas,7400.629999999999
Angola,Portugal,2020,Cattle,0.025
Angola,Russia,2020,Potatoes,0.01
Angola,South Africa,2020,Bananas,526.81
Angola,Spain,2020,Bananas,499.7
Angola,Spain,2020,Potatoes,20.23
Angola,TÃ¼rkiye,2020,Potatoes,0.11
Angola,United Kingdom of Great Britain and Northern Ireland,2020,Bananas,0.02
Angola,United Kingdom of Great Britain and Northern Ireland,2020,Potatoes,0.05
Angola,Zambia,2020,Cattle,1.2
Antigua and Barbuda,Netherlands (Kingdom of the),2020,Maize (corn),81.0
Antigua and Barbuda,Republic of Moldova,2020,Sunflower seed,0.13
Antigua and Barbuda,Saint Lucia,2020,Maize (corn),0.0
Antigua and Barbuda,Saint Lucia,2020,Sunflower seed,0.03
Antigua and Barbuda,Saint Vincent and the Grenadines,2020,Maize (corn),1.14
Antigua and Barbuda,United Kingdom of Great Britain and Northern Ireland,2020,Maize (corn),24.0
Antigua and Barbuda,United States of America,2020,Maize (corn),0.02
Argentina,Albania,2020,Maize (corn),438.225
Argentina,Algeria,2020,Maize (corn),3240670.0
Argentina,Algeria,2020,Sunflower seed,3005.26
Argentina,Angola,2020,Maize (corn),40421.75
Argentina,Angola,2020,Soya beans,0.09
Argentina,Angola,2020,Sunflower seed,0.09
Argentina,Angola,2020,Wheat,27.43
Argentina,Australia,2020,Maize (corn),527.35
Argentina,Austria,2020,Maize (corn),16.42
Argentina,Azerbaijan,2020,Maize (corn),944.105
Argentina,Bahrain,2020,Maize (corn),6360.134999999999
Argentina,Bahrain,2020,Sunflower seed,21.47
Argentina,Bangladesh,2020,Maize (corn),107485.0
Argentina,Bangladesh,2020,Wheat,601125.0
Argentina,Belarus,2020,Maize (corn),11.1
Argentina,Belarus,2020,Sunflower seed,0.01
Argentina,Belgium,2020,Maize (corn),198.66
Argentina,Belgium,2020,Rice,0.43
Argentina,Belgium,2020,Soya beans,0.08
Argentina,Belgium,2020,Sunflower seed,40.0
Argentina,Benin,2020,Maize (corn),709.72
Argentina,Bolivia (Plurinational State of),2020,Barley,58.0
Argentina,Bolivia (Plurinational State of),2020,Cattle,51.995
Argentina,Bolivia (Plurinational State of),2020,Maize (corn),62572.405
Argentina,Bolivia (Plurinational State of),2020,Soya beans,5812.45
Argentina,Bolivia (Plurinational State of),2020,Sunflower seed,1201.0700000000002
Argentina,Bolivia (Plurinational State of),2020,Wheat,92744.19
Argentina,Bosnia and Herzegovina,2020,Maize (corn),369.07
Argentina,Brazil,2020,Barley,613416.2949999999
Argentina,Brazil,2020,Cattle,10.25
Argentina,Brazil,2020,Maize (corn),103056.345
Argentina,Brazil,2020,Potatoes,6668.17
Argentina,Brazil,2020,Rice,78.0
Argentina,Brazil,2020,Soya beans,2807.695
Argentina,Brazil,2020,Sunflower seed,4248.605
Argentina,Brazil,2020,Wheat,4489150.98
Argentina,Bulgaria,2020,Maize (corn),1665.4899999999998
Argentina,Bulgaria,2020,Sunflower seed,494.38
Argentina,Burkina Faso,2020,Maize (corn),119.25
Argentina,Burundi,2020,Maize (corn),0.4
Argentina,Burundi,2020,Wheat,5000.0
Argentina,Cabo Verde,2020,Maize (corn),34982.0
Argentina,Cabo Verde,2020,Wheat,3983.5
Argentina,Cambodia,2020,Maize (corn),188349.9
Argentina,Cambodia,2020,Wheat,1297.15
Argentina,Cameroon,2020,Maize (corn),23721.3
Argentina,Cameroon,2020,Wheat,12000.0
Argentina,Canada,2020,Maize (corn),186.61
Argentina,Canada,2020,Soya beans,758.75
Argentina,Canada,2020,Sunflower seed,71.64
Argentina,Canada,2020,Wheat,1.47
Argentina,Chile,2020,Barley,35248.95
Argentina,Chile,2020,Maize (corn),2444258.145
Argentina,Chile,2020,Soya beans,77772.0
Argentina,Chile,2020,Sunflower seed,1248.1550000000002
Argentina,Chile,2020,Wheat,324093.875
Argentina,China,2020,Barley,409491.5
Argentina,China,2020,Maize (corn),71.98
Argentina,China,2020,Soya beans,6465570.04
Argentina,China,2020,Sunflower seed,0.06
Argentina,Colombia,2020,Barley,308327.95
Argentina,Colombia,2020,Maize (corn),561692.9650000001
Argentina,Colombia,2020,Sunflower seed,1784.79
Argentina,Colombia,2020,Wheat,29722.6
Argentina,Congo,2020,Maize (corn),20349.18
Argentina,Costa Rica,2020,Maize (corn),32445.045
Argentina,Costa Rica,2020,Rice,0.0
Argentina,Costa Rica,2020,Sunflower seed,168.66
Argentina,Costa Rica,2020,Wheat,75.18
Argentina,Croatia,2020,Maize (corn),404.805
Argentina,Cuba,2020,Maize (corn),944831.3
Argentina,Cuba,2020,Soya beans,86200.0
Argentina,Cuba,2020,Wheat,47500.0
Argentina,Cyprus,2020,Maize (corn),256.7
Argentina,Czechia,2020,Maize (corn),313.0
Argentina,Democratic Republic of the Congo,2020,Maize (corn),54858.15
Argentina,Denmark,2020,Maize (corn),3284.85
Argentina,Djibouti,2020,Maize (corn),4796.58
Argentina,Dominican Republic,2020,Maize (corn),92351.45
Argentina,Dominican Republic,2020,Sunflower seed,413.01
Argentina,Ecuador,2020,Barley,28613.37
Argentina,Ecuador,2020,Maize (corn),44047.64
Argentina,Ecuador,2020,Sunflower seed,925.7149999999999
Argentina,Ecuador,2020,Wheat,69437.51
Argentina,Egypt,2020,Maize (corn),3518884.51
Argentina,Egypt,2020,Soya beans,448889.79000000004
Argentina,Egypt,2020,Sunflower seed,86.64
Argentina,El Salvador,2020,Maize (corn),596.7049999999999
Argentina,El Salvador,2020,Sunflower seed,252.295
Argentina,Ethiopia,2020,Maize (corn),4650.7
Argentina,Ethiopia,2020,Wheat,325016.5
Argentina,Finland,2020,Maize (corn),102.73
Argentina,France,2020,Barley,0.08
Argentina,France,2020,Maize (corn),517.525
Argentina,France,2020,Soya beans,9998.69
Argentina,France,2020,Sunflower seed,55007.805
Argentina,France,2020,Wheat,0.34
Argentina,French Polynesia,2020,Sunflower seed,0.02
Argentina,Gabon,2020,Maize (corn),395.72
Argentina,Gambia,2020,Maize (corn),259.78499999999997
Argentina,Georgia,2020,Maize (corn),310.2
Argentina,Germany,2020,Barley,1.18
Argentina,Germany,2020,Maize (corn),11030.44
Argentina,Germany,2020,Soya beans,0.03
Argentina,Germany,2020,Sunflower seed,949.72
Argentina,Ghana,2020,Maize (corn),3482.38
Argentina,Ghana,2020,Wheat,18000.0
Argentina,Greece,2020,Maize (corn),3182.3500000000004
Argentina,Guatemala,2020,Maize (corn),519.175
Argentina,Guatemala,2020,Sunflower seed,836.875
Argentina,Guinea,2020,Maize (corn),1291.0
Argentina,Honduras,2020,Maize (corn),1101.8899999999999
Argentina,Honduras,2020,Sunflower seed,552.135
Argentina,Hungary,2020,Sunflower seed,216.5
Argentina,Iceland,2020,Rice,0.46
Argentina,India,2020,Barley,63000.0
Argentina,India,2020,Maize (corn),4588.42
Argentina,Indonesia,2020,Maize (corn),643600.5
Argentina,Indonesia,2020,Soya beans,633.02
Argentina,Indonesia,2020,Sunflower seed,536.0
Argentina,Indonesia,2020,Wheat,2485850.2
Argentina,Iraq,2020,Maize (corn),258932.0
Argentina,Ireland,2020,Maize (corn),78.4
Argentina,Ireland,2020,Wheat,0.0
Argentina,Israel,2020,Sunflower seed,362.635
Argentina,Italy,2020,Maize (corn),5322.305
Argentina,Italy,2020,Soya beans,16397.63
Argentina,Italy,2020,Sunflower seed,341.52
Argentina,Italy,2020,Wheat,0.17
Argentina,Japan,2020,Maize (corn),7573.0
Argentina,Japan,2020,Sunflower seed,132.0
Argentina,Jordan,2020,Maize (corn),518227.755
Argentina,Jordan,2020,Soya beans,6905.54
Argentina,Kenya,2020,Maize (corn),464.0
