exporter,importer,year,commodity,trade_quantity
Afghanistan,Canada,2021,Sunflower seed,0.22
Afghanistan,Iran (Islamic Republic of),2021,Sunflower seed,2093.4
Afghanistan,Kazakhstan,2021,Potatoes,1394.0
Afghanistan,Mozambique,2021,Maize (corn),29.25
Afghanistan,Mozambique,2021,Potatoes,0.04
Afghanistan,Nepal,2021,Maize (corn),0.0
Afghanistan,Netherlands (Kingdom of the),2021,Maize (corn),0.01
Afghanistan,Pakistan,2021,Maize (corn),33.0
Afghanistan,Pakistan,2021,Potatoes,2787.88
Afghanistan,Saudi Arabia,2021,Sunflower seed,0.3
Afghanistan,Tajikistan,2021,Cattle,10.0
Afghanistan,Uzbekistan,2021,Chickens,0.0
Afghanistan,Uzbekistan,2021,Potatoes,19075.13
Albania,Bosnia and Herzegovina,2021,Potatoes,239.0
Albania,Montenegro,2021,Potatoes,64.23
Albania,North Macedonia,2021,Potatoes,161.45
Albania,Pakistan,2021,Potatoes,1.47
Albania,Serbia,2021,Potatoes,8.3
Algeria,Angola,2021,Potatoes,6.0
Algeria,Canada,2021,Soya beans,1.46
Algeria,France,2021,Bananas,0.0
Algeria,France,2021,Potatoes,122.25
Algeria,France,2021,Wheat,27.25
Algeria,Hungary,2021,Wheat,0.0
Algeria,Mauritania,2021,Barley,20.0
Algeria,Niger,2021,Maize (corn),5.72
Algeria,Niger,2021,Potatoes,120.3
Algeria,Spain,2021,Potatoes,68.0
Algeria,Spain,2021,Soya beans,0.05
Algeria,Spain,2021,Wheat,2514.6
Algeria,Switzerland,2021,Bananas,1.96
Algeria,Switzerland,2021,Wheat,0.1
Algeria,United Arab Emirates,2021,Potatoes,29.58
Algeria,United Arab Emirates,2021,Wheat,0.06
Algeria,United Kingdom of Great Britain and Northern Ireland,2021,Wheat,0.56
Algeria,United States of America,2021,Wheat,5.0
Angola,Bahamas,2021,Bananas,0.13
Angola,Belgium,2021,Bananas,39.95
Angola,Brazil,2021,Maize (corn),0.01
Angola,Canada,2021,Bananas,0.01
Angola,Congo,2021,Bananas,1886.88
Angola,Congo,2021,Cattle,6.615
Angola,Congo,2021,Maize (corn),17.14
Angola,Congo,2021,Potatoes,14.89
Angola,Congo,2021,Wheat,0.48
Angola,Croatia,2021,Bananas,0.03
Angola,Cuba,2021,Potatoes,0.05
Angola,Democratic Republic of the Congo,2021,Bananas,284.94
Angola,Democratic Republic of the Congo,2021,Cattle,5.065
Angola,Democratic Republic of the Congo,2021,Maize (corn),5.72
Angola,Democratic Republic of the Congo,2021,Potatoes,11.275
Angola,Denmark,2021,Potatoes,0.1
Angola,France,2021,Bananas,39.54
